name,Price,year,fuel_type,kms_driven,company
Maruti Celerio,400000.0,2015,Petrol,120000.0,Maruti
Ford Ecosport,811000.0,2018,Petrol,32706.0,Ford
Tata Tiago,585000.0,2018,Petrol,11949.0,Tata
Hyundai Xcent,462000.0,2014,Petrol,17794.0,Hyundai
Maruti SX4 S Cross,790000.0,2015,Diesel,60000.0,Maruti
Datsun GO,345000.0,2017,Petrol,37772.0,Datsun
Hyundai Venue,1200000.0,2021,Petrol,30000.0,Hyundai
Maruti Ciaz,960000.0,2018,Petrol,37000.0,Maruti
Tata Tiago,585000.0,2017,Petrol,11949.0,Tata
Maruti Baleno,690000.0,2018,Petrol,50000.0,Maruti
Hyundai Grand i10,682000.0,2019,Petrol,24887.0,Hyundai
Honda Jazz,825000.0,2018,Petrol,23000.0,Honda
Tata Tiago,595000.0,2018,Petrol,48928.0,Tata
Mahindra XUV500,690000.0,2014,Diesel,108862.0,Mahindra
Jeep Compass,1350000.0,2018,Diesel,80000.0,Jeep
Hyundai i20,521000.0,2014,Diesel,65376.0,Hyundai
Tata Nexon,1005000.0,2022,Petrol,10000.0,Tata
Honda City,775000.0,2016,Petrol,67000.0,Honda
Maruti Swift,582000.0,2016,Petrol,18083.0,Maruti
Renault Duster,1090000.0,2020,Petrol,30000.0,Renault
Tata Tiago,457000.0,2016,Petrol,57634.0,Tata
Honda City,550000.0,2015,Petrol,110000.0,Honda
Hyundai Santro,570000.0,2018,Petrol,23447.0,Hyundai
Hyundai Santro Xing,220000.00000000003,2009,Lpg,30000.0,Hyundai
Mahindra XUV500,861000.0,2014,Diesel,87667.0,Mahindra
Mahindra XUV500,802999.9999999999,2014,Diesel,79012.0,Mahindra
Hyundai Xcent,674000.0,2018,Petrol,50000.0,Hyundai
Maruti Wagon R,349000.0,2015,Petrol,12434.0,Maruti
Maruti Ertiga,1050000.0,2019,Petrol,60000.0,Maruti
Maruti Wagon R,406000.0,2015,Petrol,40987.0,Maruti
Toyota Fortuner,1100000.0,2011,Diesel,120000.0,Toyota
Renault Duster,1100000.0,2020,Diesel,40000.0,Renault
Hyundai i20,594000.0,2016,Petrol,89667.0,Hyundai
Hyundai i20,710000.0,2017,Diesel,120000.0,Hyundai
Maruti Baleno,692000.0,2017,Petrol,56997.0,Maruti
Hyundai Elantra,650000.0,2013,Petrol,120000.0,Hyundai
Maruti Alto 800,411000.00000000006,2021,Petrol,18835.0,Maruti
Mahindra Scorpio,650000.0,2010,Diesel,120000.0,Mahindra
Tata Tiago,610000.0,2019,Petrol,60932.0,Tata
Kia Seltos,1675000.0,2020,Petrol,33539.0,Kia
Tata Tiago,530000.0,2018,Petrol,66837.0,Tata
Maruti Alto,250000.0,2008,Petrol,60000.0,Maruti
Hyundai i20,715000.0,2019,Petrol,44285.0,Hyundai
Hyundai Grand i10,625000.0,2018,Petrol,36735.0,Hyundai
Mahindra Scorpio,650000.0,2010,Diesel,120000.0,Mahindra
Renault KWID,550000.0,2022,Petrol,10000.0,Renault
Tata Nexon,825000.0,2018,Diesel,53645.0,Tata
Hyundai Getz,220000.00000000003,2006,Petrol,100000.0,Hyundai
Maruti Celerio,428000.0,2014,Petrol,53982.0,Maruti
Skoda Rapid,695000.0,2014,Diesel,110000.0,Skoda
Ford Ecosport,930000.0,2019,Petrol,37741.0,Ford
Maruti Alto 800,455000.0,2021,Petrol,17367.0,Maruti
Hyundai Creta,1195000.0,2017,Diesel,94000.0,Hyundai
Maruti Swift,442000.0,2014,Petrol,54601.0,Maruti
Maruti Swift,690000.0,2018,Diesel,110000.0,Maruti
Maruti Celerio,500000.0,2017,Petrol,64000.0,Maruti
Maruti Ciaz,650000.0,2015,Diesel,100000.0,Maruti
Honda Jazz,537000.0,2016,Petrol,44154.0,Honda
Renault Lodgy,750000.0,2016,Diesel,70000.0,Renault
Tata Tiago,468000.0,2017,Petrol,68039.0,Tata
Maruti Ritz,420000.0,2014,Petrol,60000.0,Maruti
Maruti Ritz,420000.0,2014,Petrol,60000.0,Maruti
Hyundai i20,920000.0,2021,Petrol,10000.0,Hyundai
Honda City,533000.0,2013,Petrol,49873.0,Honda
Volkswagen Polo,850000.0,2013,Petrol,90000.0,Volkswagen
Skoda Rapid,751000.0,2017,Diesel,48960.0,Skoda
Hyundai Grand i10,388000.0,2014,Diesel,70000.0,Hyundai
Hyundai i20,490000.00000000006,2013,Petrol,68000.0,Hyundai
Mahindra KUV 100,494000.00000000006,2016,Diesel,23017.0,Mahindra
Hyundai i20,525000.0,2013,Diesel,83000.0,Hyundai
Maruti Wagon R,550000.0,2018,Petrol,62139.0,Maruti
Hyundai i10,365000.0,2013,Lpg,74000.0,Hyundai
Renault KWID,420000.0,2016,Petrol,26500.0,Renault
Mahindra XUV300,1050000.0,2022,Petrol,10000.0,Mahindra
Honda Brio,394000.0,2013,Petrol,38197.0,Honda
Maruti Baleno,725000.0,2017,Petrol,23000.0,Maruti
Maruti Alto K10,240000.0,2013,Petrol,50000.0,Maruti
Renault Kiger,835000.0,2022,Petrol,10000.0,Renault
Hyundai Grand i10,695000.0,2019,Petrol,19000.0,Hyundai
Kia Seltos,1725000.0,2020,Petrol,14000.0,Kia
Hyundai EON,330000.0,2014,Petrol,29268.0,Hyundai
Volkswagen Vento,990000.0,2019,Petrol,20000.0,Volkswagen
Toyota Yaris,750000.0,2018,Petrol,30000.0,Toyota
Honda Jazz,755000.0,2018,Petrol,64374.0,Honda
MG Hector,1750000.0,2021,Diesel,30000.0,MG
Hyundai i10,271000.0,2010,Petrol,43679.0,Hyundai
Hyundai Creta,1280000.0,2018,Petrol,40000.0,Hyundai
Hyundai i20,436000.00000000006,2012,Diesel,40562.0,Hyundai
Hyundai Creta,1675000.0,2021,Petrol,26500.0,Hyundai
Hyundai Venue,1250000.0,2019,Petrol,20000.0,Hyundai
Mahindra XUV500,1350000.0,2016,Diesel,58600.0,Mahindra
Hyundai Venue,1250000.0,2019,Petrol,20000.0,Hyundai
Maruti Celerio,475000.0,2015,Petrol,65017.0,Maruti
BMW 3 Series,600000.0,2008,Diesel,80000.0,BMW
Kia Seltos,1625000.0,2020,Petrol,20000.0,Kia
Skoda Superb,1650000.0,2014,Diesel,36349.0,Skoda
Hyundai i10,249000.00000000003,2009,Petrol,80000.0,Hyundai
Renault Duster,630000.0,2014,Petrol,83394.0,Renault
Hyundai i10,249000.00000000003,2009,Petrol,80000.0,Hyundai
Maruti Alto K10,385000.0,2017,Petrol,52204.0,Maruti
Hyundai i20,300000.0,2012,Petrol,110000.0,Hyundai
Maruti Alto 800,276000.0,2014,Petrol,29813.0,Maruti
Ford Figo,500000.0,2018,Petrol,30000.0,Ford
Maruti Ignis,730000.0,2020,Petrol,13345.0,Maruti
Hyundai Grand i10,399000.0,2014,Petrol,75000.0,Hyundai
Hyundai i10,312000.0,2011,Petrol,75523.0,Hyundai
Mahindra XUV500,1275000.0,2015,Diesel,47000.0,Mahindra
Renault Triber,719000.0,2020,Petrol,28253.0,Renault
Hyundai Creta,1260000.0,2016,Diesel,50000.0,Hyundai
Hyundai i10,300000.0,2010,Petrol,90000.0,Hyundai
Hyundai i20,627000.0,2016,Petrol,52571.0,Hyundai
BMW 3 Series,1300000.0,2010,Diesel,70000.0,BMW
Honda City,672000.0,2015,Petrol,61993.0,Honda
Hyundai i20,440000.00000000006,2013,Petrol,36359.0,Hyundai
Tata Harrier,1460000.0,2019,Diesel,70000.0,Tata
Hyundai Verna,1033000.0,2017,Petrol,30301.0,Hyundai
Hyundai i10,275000.0,2010,Petrol,66000.0,Hyundai
Hyundai i20,676000.0,2017,Petrol,56010.0,Hyundai
Nissan Terrano,650000.0,2014,Diesel,60000.0,Nissan
Maruti Swift,444000.00000000006,2014,Diesel,83829.0,Maruti
Renault KWID,510000.0,2020,Petrol,10000.0,Renault
Renault Duster,925000.0,2016,Diesel,35000.0,Renault
Honda City,1024000.0,2019,Petrol,51116.0,Honda
Skoda Rapid,500000.0,2016,Diesel,80000.0,Skoda
Volkswagen Polo,995000.0,2017,Petrol,40000.0,Volkswagen
Honda CR-V,935000.0,2012,Petrol,85565.0,Honda
Ford Ecosport,834000.0,2018,Petrol,36916.0,Ford
Volkswagen Polo,560000.0,2015,Diesel,90000.0,Volkswagen
Maruti Swift,454000.0,2012,Petrol,112795.0,Maruti
Toyota Innova,1100000.0,2014,Petrol,120000.0,Toyota
Honda Brio,462000.0,2016,Petrol,36685.0,Honda
Hyundai Santa Fe,900000.0,2012,Diesel,120000.0,Hyundai
Maruti Baleno,843000.0,2019,Petrol,32184.0,Maruti
Maruti Baleno RS,799000.0,2018,Petrol,32279.0,Maruti
Hyundai i20,576000.0,2015,Petrol,59698.0,Hyundai
Renault Captur,949000.0,2018,Diesel,46071.0,Renault
Maruti Vitara Brezza,795000.0,2017,Diesel,90000.0,Maruti
Hyundai Venue,1085000.0,2019,Petrol,9554.0,Hyundai
Renault Duster,516000.0,2013,Diesel,74499.0,Renault
Ford Ecosport,777000.0,2017,Petrol,56211.0,Ford
Honda Jazz,753000.0,2019,Petrol,9001.0,Honda
Mahindra XUV500,1226000.0,2017,Diesel,65457.0,Mahindra
Honda Jazz,725000.0,2017,Petrol,23682.0,Honda
Hyundai Verna,1150000.0,2020,Diesel,50000.0,Hyundai
Maruti Swift,629000.0,2015,Diesel,134557.0,Maruti
Maruti Swift Dzire,447000.0,2013,Petrol,96567.0,Maruti
Maruti Celerio,400000.0,2015,Petrol,120000.0,Maruti
Maruti Ertiga,786000.0,2014,Diesel,83007.0,Maruti
Honda Jazz,745000.0,2018,Petrol,34000.0,Honda
Hyundai Grand i10,490000.00000000006,2014,Petrol,81634.0,Hyundai
Honda City,942000.0,2017,Petrol,57284.0,Honda
Ford Ecosport,675000.0,2016,Petrol,70000.0,Ford
